=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2024.03.14 21:40:27 =~=~=~=~=~=~=~=~=~=~=~=
00,0.48,0
45,0.00,0.41,0
45,0.00,0.41,0
45,0.00,0.38,0
45,0.00,0.41,0
45,0.00,0.45,0
45,0.00,0.41,0
45,0.00,0.35,0
45,0.00,0.45,0
45,0.00,0.38,0
45,0.00,0.45,0
45,0.00,0.48,0
45,0.00,0.41,0
45,0.00,0.41,0
45,0.00,0.41,0
45,0.00,0.41,0
45,0.00,0.35,0
45,0.00,0.45,0
45,0.00,0.45,0
45,0.00,0.48,0
45,0.00,0.48,0
45,0.00,0.45,0
45,0.00,0.48,0
45,0.00,0.41,0
45,0.00,0.38,0
45,0.00,0.51,0
45,0.00,0.41,0
45,0.00,0.35,0
45,0.00,0.41,0
45,0.00,0.38,0
45,0.00,0.41,0
45,0.00,0.38,0
45,0.00,0.45,0
45,0.00,0.45,0
45,0.00,0.41,0
45,0.00,0.45,0
45,0.00,0.41,0
45,0.00,0.45,0
45,0.00,0.41,0
45,0.00,0.45,0
45,0.00,0.41,0
45,0.00,0.48,0
45,0.00,0.45,0
45,0.00,0.45,0
45,0.00,0.41,0
45,0.00,0.45,0
45,0.00,0.45,0
45,0.00,0.38,0
45,0.00,0.41,0
45,0.00,0.45,0
45,0.00,0.48,0
45,0.00,0.35,0
45,0.00,0.48,0
45,0.00,0.35,0
45,0.00,0.41,0
45,0.00,0.48,0
45,0.00,0.35,0
45,0.00,0.45,0
45,0.00,0.41,0
45,0.00,0.41,0
45,0.00,0.45,0
45,0.00,0.45,0
45,0.00,0.48,0
45,0.00,0.48,0
45,0.00,0.41,0
45,0.00,0.48,0
45,0.00,0.41,0
45,0.00,0.35,0
45,0.00,0.38,0
45,0.00,0.41,0
45,0.00,0.51,0
45,0.00,0.45,0
45,0.00,0.35,0
45,0.00,0.45,0
45,0.00,0.51,0
45,0.00,0.41,0
45,0.00,0.48,0
45,0.00,0.41,0
45,0.00,0.45,0
45,0.00,0.45,0
45,0.00,0.41,0
45,0.00,0.45,0
45,0.00,0.41,0
45,0.00,0.35,0
45,0.00,0.32,0
45,0.00,0.41,0
45,0.00,0.41,0
45,0.00,0.41,0
45,0.00,0.48,0
45,0.00,0.35,0
45,0.00,0.45,0
45,0.00,0.45,0
45,0.00,0.38,0
45,0.00,0.45,0
45,0.00,0.35,0
45,0.00,0.45,0
45,0.00,0.41,0
45,0.00,0.45,0
45,0.00,0.45,0
45,0.00,0.35,0
45,0.00,0.41,0
45,0.00,0.45,0
45,0.00,0.41,0
45,0.00,0.45,0
45,0.00,0.48,0
45,0.00,0.41,0
45,0.00,0.45,0
45,0.00,0.48,0
45,0.00,0.41,0
45,0.00,0.48,0
45,0.00,0.45,0
45,0.00,0.45,0
45,0.00,0.41,0
45,0.00,0.48,0
45,0.00,0.41,0
45,0.00,0.41,0
45,0.00,0.45,0
45,0.00,0.41,0
45,0.00,0.48,0
45,0.00,0.41,0
45,0.00,0.45,0
45,0.00,0.41,0
